"filename","replicate","tau","vhi","alpha","expt","prod_loss_cost","incidence","mmr_cost","directMedicalCost","totalCost"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_1",1,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",11750,1,1584223572,6491.75,1584241813.75
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_10",10,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",8283.52490421454,4,1584223572,25967,1584257822.5249
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_100",100,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",25430.6513409962,8,1584223572,51934,1584300936.65134
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_101",101,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",1110632.31162197,194,1584223572,1259399.5,1586593603.81162
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_102",102,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",4551.72413793103,2,1584223572,12983.5,1584241107.22414
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_103",103,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",29790.7471264367,3,1584223572,19475.25,1584272837.99713
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_104",104,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",3984.67432950192,2,1584223572,12983.5,1584240540.17433
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_105",105,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",8933.33333333336,1,1584223572,6491.75,1584238997.08333
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_106",106,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",0,1,1584223572,6491.75,1584230063.75
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_107",107,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",1957.85440613027,1,1584223572,6491.75,1584232021.60441
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_108",108,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05",1206.89655172414,3,1584223572,19475.25,1584244254.14655
